shipName,Classe,ano,mes,consumo_total,consumo_medio,num_viagens,distancia_total,duracao_total,consumo_por_milha,consumo_por_hora
GISELLE CARVALHO,Suezmax,2021,8,800.0,30.77,26,5890.0,640.82,0.1358,1.2484
LUCAS MENDONÇA,MR 2,2021,8,451.2,13.67,33,5255.0,453.55,0.0859,0.9948
MARCOS CAVALCANTI,Suezmax,2021,8,508.0,21.17,24,3970.0,403.9,0.128,1.2577
MARIA VALENTINA,Gaseiro 7k,2021,8,129.0,4.96,26,3636.0,319.1,0.0355,0.4043
PAULO MOURA,Suezmax,2021,8,581.0,30.58,19,4308.0,456.45,0.1349,1.2729
RAUL MARTINS,Suezmax,2021,8,723.0,27.81,26,5395.1,435.65,0.134,1.6596
RENATO GOMES,Aframax,2021,8,993.0,35.46,28,7915.0,606.3,0.1255,1.6378
RICARDO BARBOSA,Gaseiro 7k,2021,8,176.3,6.08,29,4474.9,457.99,0.0394,0.3849
RODRIGO PINHEIRO,Aframax,2021,8,533.12,25.39,21,4068.2,413.59,0.131,1.289
ROMARIO SILVA,MR 2,2021,8,345.43,11.91,29,4005.2,330.49,0.0862,1.0452
THIAGO FERNANDES,MR 2,2021,8,104.13,9.47,11,760.0,76.58,0.137,1.3598
TOTAL_FROTA,TODAS,2021,8,8100.58,19.52,415,71578.6,6812.97,0.1132,1.189
BRUNO LIMA,Gaseiro 7k,2021,9,35.32,3.21,11,929.0,86.66,0.038,0.4076
CARLA SILVA,Aframax,2021,9,648.0,24.92,26,5290.0,488.9,0.1225,1.3254
DANIEL PEREIRA,Aframax,2021,9,948.0,39.5,24,5592.0,540.95,0.1695,1.7525
EDUARDO COSTA,MR 2,2021,9,443.08,17.04,26,4577.0,393.25,0.0968,1.1267
FELIPE RIBEIRO,Suezmax,2021,9,177.0,11.8,15,1198.5,103.27,0.1477,1.714
FÁBIO SANTOS,Gaseiro 7k,2021,9,104.9,4.56,23,2643.0,249.01,0.0397,0.4213
GABRIELA MARTINS,Aframax,2021,9,705.25,17.63,40,4866.6,427.43,0.1449,1.65
GISELLE CARVALHO,Suezmax,2021,9,1317.3,47.05,28,7429.0,622.83,0.1773,2.115
HENRIQUE ALVES,Suezmax,2021,9,1089.0,38.89,28,5679.0,531.6,0.1918,2.0485
LUCAS MENDONÇA,MR 2,2021,9,190.6,13.61,14,2405.5,170.6,0.0792,1.1172
MARCOS CAVALCANTI,Suezmax,2021,9,486.0,16.76,29,3657.0,416.3,0.1329,1.1674
MARIA VALENTINA,Gaseiro 7k,2021,9,163.8,6.07,27,3937.0,357.59,0.0416,0.4581
PAULO MOURA,Suezmax,2021,9,876.0,36.5,24,6055.0,512.09,0.1447,1.7106
RAFAEL SANTOS,Suezmax,2021,9,490.0,54.44,9,2685.0,216.0,0.1825,2.2685
RAUL MARTINS,Suezmax,2021,9,1022.0,34.07,30,6277.7,523.97,0.1628,1.9505
RENATO GOMES,Aframax,2021,9,860.2,33.08,26,6726.0,522.4,0.1279,1.6466
RICARDO BARBOSA,Gaseiro 7k,2021,9,110.4,4.25,26,3198.16,275.83,0.0345,0.4002
RODRIGO PINHEIRO,Aframax,2021,9,1.6,0.8,2,9.0,1.5,0.1778,1.0667
ROMARIO SILVA,MR 2,2021,9,371.03,12.37,30,4364.73,335.31,0.085,1.1065
THIAGO FERNANDES,MR 2,2021,9,411.66,14.7,28,4049.0,633.08,0.1017,0.6502
TOTAL_FROTA,TODAS,2021,9,10451.14,22.43,466,81568.19,7408.57,0.1281,1.4107
BRUNO LIMA,Gaseiro 7k,2021,10,110.91,5.28,21,2787.0,322.99,0.0398,0.3434
CARLA SILVA,Aframax,2021,10,766.0,17.02,45,5420.0,788.79,0.1413,0.9711
DANIEL PEREIRA,Aframax,2021,10,1137.0,36.68,31,8409.0,653.84,0.1352,1.739
EDUARDO COSTA,MR 2,2021,10,279.75,13.32,21,3038.0,248.09,0.0921,1.1276
FELIPE RIBEIRO,Suezmax,2021,10,1453.63,42.75,34,8608.0,727.6,0.1689,1.9978
FÁBIO SANTOS,Gaseiro 7k,2021,10,181.22,5.85,31,5015.5,400.54,0.0361,0.4524
GABRIELA MARTINS,Aframax,2021,10,789.37,29.24,27,6330.0,501.7,0.1247,1.5734
GISELLE CARVALHO,Suezmax,2021,10,1040.41,33.56,31,8353.0,543.4,0.1246,1.9146
HENRIQUE ALVES,Suezmax,2021,10,883.0,31.54,28,4374.5,553.38,0.2019,1.5956
LUCAS MENDONÇA,MR 2,2021,10,374.2,11.34,33,4655.5,349.01,0.0804,1.0722
MARCOS CAVALCANTI,Suezmax,2021,10,489.79,16.33,30,4089.0,326.49,0.1198,1.5002
MARIA VALENTINA,Gaseiro 7k,2021,10,169.6,5.3,32,4742.5,371.32,0.0358,0.4567
PAULO MOURA,Suezmax,2021,10,1142.4,36.85,31,9465.0,783.18,0.1207,1.4587
RAFAEL SANTOS,Suezmax,2021,10,1517.2,72.25,21,3362.0,274.92,0.4513,5.5187
RAUL MARTINS,Suezmax,2021,10,1109.5,34.67,32,9008.8,706.4,0.1232,1.5706
RENATO GOMES,Aframax,2021,10,955.53,28.96,33,6448.3,555.79,0.1482,1.7192
RICARDO BARBOSA,Gaseiro 7k,2021,10,163.2,4.95,33,4742.5,409.01,0.0344,0.399
RODRIGO PINHEIRO,Aframax,2021,10,1246.7,38.96,32,8906.0,743.33,0.14,1.6772
ROMARIO SILVA,MR 2,2021,10,160.2,6.16,26,2156.5,243.4,0.0743,0.6582
THIAGO FERNANDES,MR 2,2021,10,77.7,7.77,10,905.3,100.41,0.0858,0.7738
TOTAL_FROTA,TODAS,2021,10,14047.31,24.14,582,110816.4,9603.59,0.1268,1.4627
BRUNO LIMA,Gaseiro 7k,2021,11,97.65,4.07,24,2696.5,235.68,0.0362,0.4143
CARLA SILVA,Aframax,2021,11,187.0,11.69,16,1227.0,244.87,0.1524,0.7637
DANIEL PEREIRA,Aframax,2021,11,409.0,31.46,13,3209.5,244.07,0.1274,1.6757
EDUARDO COSTA,MR 2,2021,11,461.29,17.74,26,4502.0,415.42,0.1025,1.1104
FELIPE RIBEIRO,Suezmax,2021,11,770.55,25.68,30,4412.5,356.28,0.1746,2.1628
FÁBIO SANTOS,Gaseiro 7k,2021,11,88.3,3.04,29,2143.8,215.92,0.0412,0.4089
GABRIELA MARTINS,Aframax,2021,11,869.6,33.45,26,6261.0,493.7,0.1389,1.7614
GISELLE CARVALHO,Suezmax,2021,11,838.29,34.93,24,5229.0,445.68,0.1603,1.8809
HENRIQUE ALVES,Suezmax,2021,11,1522.0,50.73,30,8561.0,720.0,0.1778,2.1139
LUCAS MENDONÇA,MR 2,2021,11,277.2,13.86,20,3846.6,283.0,0.0721,0.9795
MARCOS CAVALCANTI,Suezmax,2021,11,779.3,29.97,26,5535.0,441.71,0.1408,1.7643
MARIA VALENTINA,Gaseiro 7k,2021,11,148.15,5.11,29,4542.0,427.74,0.0326,0.3464
PAULO MOURA,Suezmax,2021,11,520.0,40.0,13,3122.0,538.63,0.1666,0.9654
RAFAEL SANTOS,Suezmax,2021,11,430.9,17.24,25,2920.0,239.51,0.1476,1.7991
RAUL MARTINS,Suezmax,2021,11,744.64,32.38,23,4877.0,455.12,0.1527,1.6361
RENATO GOMES,Aframax,2021,11,855.17,27.59,31,6266.5,515.37,0.1365,1.6593
RICARDO BARBOSA,Gaseiro 7k,2021,11,115.7,5.51,21,3404.0,271.16,0.034,0.4267
RODRIGO PINHEIRO,Aframax,2021,11,836.41,26.14,32,7411.0,562.28,0.1129,1.4875
ROMARIO SILVA,MR 2,2021,11,190.87,6.58,29,2647.7,279.76,0.0721,0.6823
THIAGO FERNANDES,MR 2,2021,11,268.8,11.2,24,3185.0,260.85,0.0844,1.0305
TOTAL_FROTA,TODAS,2021,11,10410.82,21.2,491,85999.1,7646.75,0.1211,1.3615
BRUNO LIMA,Gaseiro 7k,2021,12,75.02,3.0,25,2179.0,180.57,0.0344,0.4155
CARLA SILVA,Aframax,2021,12,484.6,12.75,38,3624.0,427.47,0.1337,1.1336
DANIEL PEREIRA,Aframax,2021,12,717.5,27.6,26,4605.2,446.22,0.1558,1.608
EDUARDO COSTA,MR 2,2021,12,270.54,20.81,13,2381.0,243.58,0.1136,1.1107
FELIPE RIBEIRO,Suezmax,2021,12,1437.28,51.33,28,8019.0,632.0,0.1792,2.2742
GABRIELA MARTINS,Aframax,2021,12,1028.77,32.15,32,7415.0,631.4,0.1387,1.6293
GISELLE CARVALHO,Suezmax,2021,12,1384.0,47.72,29,7796.0,635.9,0.1775,2.1764
HENRIQUE ALVES,Suezmax,2021,12,90.0,9.0,10,371.0,160.7,0.2426,0.56
LUCAS MENDONÇA,MR 2,2021,12,244.36,11.11,22,2949.0,237.3,0.0829,1.0298
MARCOS CAVALCANTI,Suezmax,2021,12,684.7,27.39,25,5747.0,486.16,0.1191,1.4084
MARIA VALENTINA,Gaseiro 7k,2021,12,152.8,4.78,32,3971.5,395.84,0.0385,0.386
PAULO MOURA,Suezmax,2021,12,1083.0,40.11,27,7082.0,630.3,0.1529,1.7182
RAFAEL SANTOS,Suezmax,2021,12,712.35,22.26,32,5028.0,428.84,0.1417,1.6611
RAUL MARTINS,Suezmax,2021,12,710.0,29.58,24,5258.0,450.83,0.135,1.5749
RENATO GOMES,Aframax,2021,12,889.0,32.93,27,7267.0,586.85,0.1223,1.5149
RICARDO BARBOSA,Gaseiro 7k,2021,12,193.55,5.69,34,5336.0,427.37,0.0363,0.4529
RODRIGO PINHEIRO,Aframax,2021,12,1060.9,34.22,31,7923.0,662.57,0.1339,1.6012
ROMARIO SILVA,MR 2,2021,12,99.06,7.62,13,1339.5,108.18,0.074,0.9157
THIAGO FERNANDES,MR 2,2021,12,312.2,13.01,24,3244.0,263.62,0.0962,1.1843
TOTAL_FROTA,TODAS,2021,12,11725.49,23.55,498,92084.2,8081.28,0.1273,1.4509
VICTOR OLIVEIRA,Suezmax,2021,12,95.86,15.98,6,549.0,45.58,0.1746,2.1031
BRUNO LIMA,Gaseiro 7k,2022,1,180.26,4.87,37,5979.5,464.66,0.0301,0.3879
CARLA SILVA,Aframax,2022,1,165.7,11.84,14,1107.8,280.8,0.1496,0.5901
DANIEL PEREIRA,Aframax,2022,1,928.0,35.69,26,5684.0,508.71,0.1633,1.8242
FELIPE RIBEIRO,Suezmax,2022,1,91.8,10.2,9,385.2,43.94,0.2383,2.0892
FÁBIO SANTOS,Gaseiro 7k,2022,1,0.5,0.5,1,10.0,1.25,0.05,0.4
GABRIELA MARTINS,Aframax,2022,1,591.83,21.14,28,4857.0,415.97,0.1219,1.4228
GISELLE CARVALHO,Suezmax,2022,1,568.6,18.34,31,3646.0,305.78,0.156,1.8595
HENRIQUE ALVES,Suezmax,2022,1,385.0,21.39,18,1933.5,191.4,0.1991,2.0115
LUCAS MENDONÇA,MR 2,2022,1,366.85,7.81,47,4486.0,358.2,0.0818,1.0241
MARCOS CAVALCANTI,Suezmax,2022,1,652.15,23.29,28,5110.0,478.37,0.1276,1.3633
MARIA VALENTINA,Gaseiro 7k,2022,1,197.44,5.98,33,5170.0,438.41,0.0382,0.4504
PAULO MOURA,Suezmax,2022,1,287.0,23.92,12,2515.0,376.97,0.1141,0.7613
RAFAEL SANTOS,Suezmax,2022,1,1312.0,43.73,30,8159.0,695.67,0.1608,1.886
RAUL MARTINS,Suezmax,2022,1,978.76,30.59,32,7445.5,586.58,0.1315,1.6686
RENATO GOMES,Aframax,2022,1,658.78,21.96,30,5565.0,557.16,0.1184,1.1824
RICARDO BARBOSA,Gaseiro 7k,2022,1,209.85,6.77,31,5200.5,442.37,0.0404,0.4744
RODRIGO PINHEIRO,Aframax,2022,1,775.65,24.24,32,6077.6,478.61,0.1276,1.6206
ROMARIO SILVA,MR 2,2022,1,209.0,7.46,28,2180.0,219.31,0.0959,0.953
THIAGO FERNANDES,MR 2,2022,1,341.26,15.51,22,3543.0,379.24,0.0963,0.8999
TOTAL_FROTA,TODAS,2022,1,9247.18,17.92,516,81263.1,7590.41,0.1138,1.2183
VICTOR OLIVEIRA,Suezmax,2022,1,346.75,12.84,27,2208.5,367.01,0.157,0.9448
BRUNO LIMA,Gaseiro 7k,2022,2,105.57,4.8,22,2912.0,234.58,0.0363,0.45
CARLA SILVA,Aframax,2022,2,405.7,20.28,20,3066.7,321.0,0.1323,1.2639
DANIEL PEREIRA,Aframax,2022,2,979.0,33.76,29,8861.0,661.25,0.1105,1.4805
EDUARDO COSTA,MR 2,2022,2,372.37,21.9,17,4757.0,333.0,0.0783,1.1182
FELIPE RIBEIRO,Suezmax,2022,2,1388.0,49.57,28,6383.0,619.0,0.2175,2.2423
FÁBIO SANTOS,Gaseiro 7k,2022,2,58.78,3.09,19,1595.0,151.03,0.0369,0.3892
GABRIELA MARTINS,Aframax,2022,2,711.2,28.45,25,7464.0,556.8,0.0953,1.2773
GISELLE CARVALHO,Suezmax,2022,2,1141.4,39.36,29,7460.6,586.84,0.153,1.945
HENRIQUE ALVES,Suezmax,2022,2,386.0,21.44,18,1845.5,344.9,0.2092,1.1192
LUCAS MENDONÇA,MR 2,2022,2,126.68,5.28,24,1394.54,175.85,0.0908,0.7204
MARCOS CAVALCANTI,Suezmax,2022,2,516.1,30.36,17,3864.0,298.41,0.1336,1.7295
MARIA VALENTINA,Gaseiro 7k,2022,2,179.28,6.9,26,5098.0,403.92,0.0352,0.4439
PAULO MOURA,Suezmax,2022,2,693.0,36.47,19,5097.0,521.47,0.136,1.3289
RAFAEL SANTOS,Suezmax,2022,2,729.0,40.5,18,4988.0,409.83,0.1462,1.7788
RAUL MARTINS,Suezmax,2022,2,996.2,36.9,27,6963.3,549.57,0.1431,1.8127
RENATO GOMES,Aframax,2022,2,641.55,26.73,24,4939.5,412.0,0.1299,1.5572
RICARDO BARBOSA,Gaseiro 7k,2022,2,135.55,4.84,28,3314.0,291.66,0.0409,0.4648
RODRIGO PINHEIRO,Aframax,2022,2,792.1,31.68,25,7334.0,548.22,0.108,1.4449
ROMARIO SILVA,MR 2,2022,2,184.68,8.79,21,2207.0,179.84,0.0837,1.0269
THIAGO FERNANDES,MR 2,2022,2,133.3,8.33,16,1213.0,191.09,0.1099,0.6976
TOTAL_FROTA,TODAS,2022,2,11511.01,23.78,484,94759.64,8387.56,0.1215,1.3724
VICTOR OLIVEIRA,Suezmax,2022,2,835.55,26.11,32,4002.5,597.3,0.2088,1.3989
BRUNO LIMA,Gaseiro 7k,2022,3,140.69,4.69,30,3940.5,312.57,0.0357,0.4501
CARLA SILVA,Aframax,2022,3,997.25,32.17,31,7067.0,636.0,0.1411,1.568
DANIEL PEREIRA,Aframax,2022,3,330.0,22.0,15,2706.0,289.82,0.122,1.1386
EDUARDO COSTA,MR 2,2022,3,265.13,9.82,27,4879.02,228.5,0.0543,1.1603
FELIPE RIBEIRO,Suezmax,2022,3,735.0,27.22,27,3677.0,487.16,0.1999,1.5087
FÁBIO SANTOS,Gaseiro 7k,2022,3,105.97,4.08,26,2551.4,247.0,0.0415,0.429
GABRIELA MARTINS,Aframax,2022,3,471.7,18.14,26,3428.0,336.37,0.1376,1.4023
GISELLE CARVALHO,Suezmax,2022,3,966.6,29.29,33,6165.8,498.77,0.1568,1.938
HENRIQUE ALVES,Suezmax,2022,3,757.0,23.66,32,3514.0,428.43,0.2154,1.7669
LUCAS MENDONÇA,MR 2,2022,3,183.96,7.66,24,2308.4,197.35,0.0797,0.9322
MARCOS CAVALCANTI,Suezmax,2022,3,884.85,29.5,30,7085.0,575.24,0.1249,1.5382
MARIA VALENTINA,Gaseiro 7k,2022,3,152.62,5.65,27,4263.5,572.25,0.0358,0.2667
PAULO MOURA,Suezmax,2022,3,863.0,43.15,20,5521.0,527.8,0.1563,1.6351
RAFAEL SANTOS,Suezmax,2022,3,542.0,36.13,15,3455.0,311.83,0.1569,1.7381
RAUL MARTINS,Suezmax,2022,3,625.2,27.18,23,5201.2,463.48,0.1202,1.3489
RENATO GOMES,Aframax,2022,3,1207.95,34.51,35,8274.0,741.1,0.146,1.6299
RICARDO BARBOSA,Gaseiro 7k,2022,3,203.99,4.98,41,5400.0,481.58,0.0378,0.4236
RODRIGO PINHEIRO,Aframax,2022,3,719.62,23.99,30,6617.5,520.55,0.1087,1.3824
ROMARIO SILVA,MR 2,2022,3,367.77,12.26,30,4056.15,357.89,0.0907,1.0276
THIAGO FERNANDES,MR 2,2022,3,237.62,12.51,19,3143.0,228.08,0.0756,1.0418
TOTAL_FROTA,TODAS,2022,3,12243.91,21.29,575,101404.47,9116.97,0.1207,1.343
VICTOR OLIVEIRA,Suezmax,2022,3,1486.0,43.71,34,8151.0,675.2,0.1823,2.2008
BRUNO LIMA,Gaseiro 7k,2022,4,219.64,5.94,37,6049.0,489.84,0.0363,0.4484
CARLA SILVA,Aframax,2022,4,891.5,29.72,30,7491.0,603.2,0.119,1.478
DANIEL PEREIRA,Aframax,2022,4,694.0,28.92,24,5327.0,473.19,0.1303,1.4666
EDUARDO COSTA,MR 2,2022,4,326.95,19.23,17,3468.0,269.01,0.0943,1.2154
FELIPE RIBEIRO,Suezmax,2022,4,1591.0,51.32,31,8174.0,720.0,0.1946,2.2097
FÁBIO SANTOS,Gaseiro 7k,2022,4,82.53,4.34,19,2155.5,175.99,0.0383,0.4689
GABRIELA MARTINS,Aframax,2022,4,989.0,36.63,27,6862.0,600.77,0.1441,1.6462
GISELLE CARVALHO,Suezmax,2022,4,1048.4,40.32,26,6844.55,515.58,0.1532,2.0334
HENRIQUE ALVES,Suezmax,2022,4,604.0,22.37,27,3300.0,420.9,0.183,1.435
LUCAS MENDONÇA,MR 2,2022,4,191.4,7.66,25,2372.7,201.25,0.0807,0.9511
MARCOS CAVALCANTI,Suezmax,2022,4,608.95,26.48,23,4287.0,399.5,0.142,1.5243
MARIA VALENTINA,Gaseiro 7k,2022,4,6.07,1.21,5,109.0,12.25,0.0557,0.4955
PAULO MOURA,Suezmax,2022,4,482.95,21.0,23,3245.4,271.47,0.1488,1.779
RAFAEL SANTOS,Suezmax,2022,4,1269.0,52.88,24,6598.0,571.25,0.1923,2.2214
RAUL MARTINS,Suezmax,2022,4,943.0,42.86,22,5609.0,463.4,0.1681,2.035
RENATO GOMES,Aframax,2022,4,603.13,26.22,23,4601.9,381.0,0.1311,1.583
RICARDO BARBOSA,Gaseiro 7k,2022,4,95.1,3.52,27,2809.0,262.17,0.0339,0.3627
RODRIGO PINHEIRO,Aframax,2022,4,716.52,28.66,25,5851.6,502.43,0.1224,1.4261
ROMARIO SILVA,MR 2,2022,4,280.74,10.4,27,3501.9,262.33,0.0802,1.0702
THIAGO FERNANDES,MR 2,2022,4,192.44,10.13,19,2243.0,180.4,0.0858,1.0667
TOTAL_FROTA,TODAS,2022,4,12828.32,25.4,505,97178.55,8253.26,0.132,1.5543
VICTOR OLIVEIRA,Suezmax,2022,4,992.0,41.33,24,6279.0,477.33,0.158,2.0782
BRUNO LIMA,Gaseiro 7k,2022,5,178.66,5.76,31,5136.5,397.15,0.0348,0.4499
CARLA SILVA,Aframax,2022,5,480.5,25.29,19,3426.0,311.7,0.1403,1.5415
DANIEL PEREIRA,Aframax,2022,5,652.0,31.05,21,5619.0,492.25,0.116,1.3245
EDUARDO COSTA,MR 2,2022,5,227.31,16.24,14,2076.5,203.93,0.1095,1.1146
FELIPE RIBEIRO,Suezmax,2022,5,424.39,19.29,22,2211.0,225.01,0.1919,1.8861
FÁBIO SANTOS,Gaseiro 7k,2022,5,133.8,4.18,32,4062.4,342.32,0.0329,0.3909
GABRIELA MARTINS,Aframax,2022,5,428.0,21.4,20,3927.0,303.74,0.109,1.4091
GISELLE CARVALHO,Suezmax,2022,5,825.9,45.88,18,4980.8,395.17,0.1658,2.09
HENRIQUE ALVES,Suezmax,2022,5,370.0,13.21,28,1853.0,309.6,0.1997,1.1951
LUCAS MENDONÇA,MR 2,2022,5,467.7,12.99,36,4723.6,430.6,0.099,1.0862
MARCOS CAVALCANTI,Suezmax,2022,5,479.0,17.74,27,3516.0,295.9,0.1362,1.6188
MARIA VALENTINA,Gaseiro 7k,2022,5,165.28,6.36,26,3914.0,336.84,0.0422,0.4907
PAULO MOURA,Suezmax,2022,5,958.96,36.88,26,6342.5,532.7,0.1512,1.8002
RAFAEL SANTOS,Suezmax,2022,5,585.0,27.86,21,4789.0,388.22,0.1222,1.5069
RAUL MARTINS,Suezmax,2022,5,432.0,36.0,12,2654.7,209.24,0.1627,2.0646
RENATO GOMES,Aframax,2022,5,642.42,26.77,24,6365.3,515.48,0.1009,1.2463
RICARDO BARBOSA,Gaseiro 7k,2022,5,139.68,4.36,32,3978.5,351.71,0.0351,0.3971
RODRIGO PINHEIRO,Aframax,2022,5,731.88,27.11,27,5494.8,488.5,0.1332,1.4982
ROMARIO SILVA,MR 2,2022,5,288.9,9.32,31,3178.0,358.2,0.0909,0.8065
THIAGO FERNANDES,MR 2,2022,5,359.85,13.84,26,4324.0,324.26,0.0832,1.1098
TOTAL_FROTA,TODAS,2022,5,9631.19,18.85,511,86384.6,7542.69,0.1115,1.2769
VICTOR OLIVEIRA,Suezmax,2022,5,659.96,36.66,18,3812.0,330.17,0.1731,1.9988
BRUNO LIMA,Gaseiro 7k,2022,6,140.64,4.4,32,3884.0,312.91,0.0362,0.4495
CARLA SILVA,Aframax,2022,6,1184.0,39.47,30,7515.0,714.0,0.1576,1.6583
DANIEL PEREIRA,Aframax,2022,6,1050.0,40.38,26,6728.0,652.91,0.1561,1.6082
EDUARDO COSTA,MR 2,2022,6,305.0,14.52,21,3460.0,277.09,0.0882,1.1007
FELIPE RIBEIRO,Suezmax,2022,6,337.1,16.86,20,1934.5,170.63,0.1743,1.9756
FÁBIO SANTOS,Gaseiro 7k,2022,6,117.4,4.05,29,3307.0,288.72,0.0355,0.4066
GABRIELA MARTINS,Aframax,2022,6,1232.0,39.74,31,8773.0,706.0,0.1404,1.745
GISELLE CARVALHO,Suezmax,2022,6,1071.0,41.19,26,6796.0,524.96,0.1576,2.0402
HENRIQUE ALVES,Suezmax,2022,6,599.0,23.96,25,2785.0,299.0,0.2151,2.0033
LUCAS MENDONÇA,MR 2,2022,6,245.05,10.65,23,2185.5,205.1,0.1121,1.1948
MARCOS CAVALCANTI,Suezmax,2022,6,871.82,30.06,29,6082.0,543.81,0.1433,1.6032
MARIA VALENTINA,Gaseiro 7k,2022,6,141.68,4.29,33,3706.0,288.12,0.0382,0.4917
PAULO MOURA,Suezmax,2022,6,266.7,26.67,10,2041.0,174.9,0.1307,1.5249
RAFAEL SANTOS,Suezmax,2022,6,237.0,21.55,11,2291.0,892.0,0.1034,0.2657
RAUL MARTINS,Suezmax,2022,6,1212.0,40.4,30,7934.5,627.75,0.1528,1.9307
RENATO GOMES,Aframax,2022,6,593.17,19.77,30,4879.64,517.67,0.1216,1.1458
