shipName,Classe,ano,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
TOTAL_FROTA,TODAS,2022,0.1798,1.3777,0.3585,11.6391,131561.0775,1089663.45,92998.5
VICTOR OLIVEIRA,Suezmax,2022,0.2195,2.3314,0.3074,8.3295,8920.15,55133.5,4856.78
BRUNO LIMA,Gaseiro 7k,2023,0.0459,0.3961,0.5604,26.8367,1607.397,47094.12,3823.92
CARLA SILVA,Aframax,2023,0.1695,1.3657,0.1494,7.2403,2905.55,19580.9,1991.71
DANIEL PEREIRA,Aframax,2023,0.2113,1.7846,0.2723,8.3844,8398.75,62699.0,5283.11
EDUARDO COSTA,MR 2,2023,0.1567,0.9976,0.2782,11.1623,2751.299,31128.25,2600.08
FELIPE RIBEIRO,Suezmax,2023,0.3917,1.9068,0.2346,5.1317,7294.45,37053.7,3872.74
FÁBIO SANTOS,Gaseiro 7k,2023,0.0768,0.7437,0.5873,36.0885,1646.524,41741.3,3484.82
GABRIELA MARTINS,Aframax,2023,0.1596,1.5024,0.2771,9.0382,8314.09,65541.5,5618.27
GISELLE CARVALHO,Suezmax,2023,0.2592,2.0637,0.2303,6.7026,9273.07,58532.8,4840.32
HENRIQUE ALVES,Suezmax,2023,0.3475,1.8701,0.2024,7.4537,8045.5,56127.1,4614.94
LUCAS MENDONÇA,MR 2,2023,0.1334,1.0352,0.3235,10.4962,3198.168,35218.5,2989.99
MARCOS CAVALCANTI,Suezmax,2023,0.2813,1.6542,0.2189,6.8824,7231.06,53414.9,4825.62
MARIA VALENTINA,Gaseiro 7k,2023,0.048,0.4039,0.5323,26.8302,1328.542,40020.0,3365.6
PAULO MOURA,Suezmax,2023,0.187,1.6849,0.2206,7.8112,8934.34,62160.5,5101.74
RAFAEL SANTOS,Suezmax,2023,0.2446,2.0801,0.2431,7.0911,7586.07,54360.2,4264.7
RAUL MARTINS,Suezmax,2023,0.2276,1.9911,0.2482,5.6138,9665.0,57047.9,4944.0
RENATO GOMES,Aframax,2023,0.1463,1.466,0.2509,8.6561,7107.0584,57612.22,4863.46
RICARDO BARBOSA,Gaseiro 7k,2023,0.045,0.4174,0.6112,25.6545,1717.093,45614.0,4041.16
RODRIGO PINHEIRO,Aframax,2023,0.1547,1.4918,0.2491,9.1299,8875.877,72687.0,5962.31
ROMARIO SILVA,MR 2,2023,0.1337,0.9084,0.2411,13.794,1645.18,21323.2,1771.8
THIAGO FERNANDES,MR 2,2023,0.1149,1.1147,0.3064,11.8259,3048.5,38533.5,2986.6
TOTAL_FROTA,TODAS,2023,0.1804,1.3879,0.3172,12.6723,119226.7784,1015315.38,86054.94
VICTOR OLIVEIRA,Suezmax,2023,0.2408,2.2291,0.2792,7.9136,8653.26,57824.79,4808.05
BRUNO LIMA,Gaseiro 7k,2024,0.0753,0.4944,0.5713,22.9221,1398.785,32540.35,3194.14
CARLA SILVA,Aframax,2024,0.152,1.2158,0.1509,8.8896,2755.55,23201.0,2034.27
DANIEL PEREIRA,Aframax,2024,0.1685,1.4513,0.2759,8.5155,8460.3,68870.54,5803.2
EDUARDO COSTA,MR 2,2024,0.2081,0.9397,0.3062,10.2038,3592.901,41922.2,3601.16
FELIPE RIBEIRO,Suezmax,2024,0.3763,2.2706,0.2607,6.192,8487.38,49598.6,4664.48
FÁBIO SANTOS,Gaseiro 7k,2024,0.0479,0.4599,0.5611,33.3041,1767.24,50391.2,4160.32
GABRIELA MARTINS,Aframax,2024,0.1436,1.4233,0.2707,8.8392,7163.2,60176.0,4957.36
GISELLE CARVALHO,Suezmax,2024,0.2098,1.9881,0.3324,6.6292,10378.61,61245.3,5029.99
HENRIQUE ALVES,Suezmax,2024,0.2059,2.0565,0.2869,7.8254,10844.0,77512.0,6468.42
LUCAS MENDONÇA,MR 2,2024,0.1322,0.9463,0.2639,11.6233,2557.08,33877.6,2624.45
MARCOS CAVALCANTI,Suezmax,2024,0.1832,1.6557,0.2553,6.7077,10620.399,72772.5,6234.6
MARIA VALENTINA,Gaseiro 7k,2024,0.058,0.4296,0.5558,24.0237,1491.505,43463.5,3539.87
PAULO MOURA,Suezmax,2024,0.2825,2.0278,0.2381,7.7605,9861.3397,62008.2,5623.41
RAFAEL SANTOS,Suezmax,2024,0.1605,1.7467,0.2716,8.1686,9809.8,67269.0,5470.99
RAUL MARTINS,Suezmax,2024,0.2068,1.8064,0.2582,6.1767,10632.88,64216.9,5885.7
RENATO GOMES,Aframax,2024,0.1202,1.3813,0.2934,11.3885,7411.0,70795.5,5787.5
RICARDO BARBOSA,Gaseiro 7k,2024,0.0444,0.3904,0.5568,30.0723,1439.798,44796.0,3846.46
RODRIGO PINHEIRO,Aframax,2024,0.1695,1.4119,0.2277,9.9374,6336.4715,54149.8,4573.52
ROMARIO SILVA,MR 2,2024,0.124,0.9975,0.2895,12.9413,2994.795,40505.24,3088.99
THIAGO FERNANDES,MR 2,2024,0.1379,0.9301,0.2807,12.2881,3113.42,38287.6,3594.02
TOTAL_FROTA,TODAS,2024,0.1594,1.3172,0.3281,12.7771,130921.6542,1127688.03,95827.97
VICTOR OLIVEIRA,Suezmax,2024,0.1584,1.7702,0.2425,7.5278,9805.2,70089.0,5645.12
BRUNO LIMA,Gaseiro 7k,2025,0.0877,0.5398,0.5622,28.3988,1396.569,37240.2,3012.05
CARLA SILVA,Aframax,2025,0.1306,0.9358,0.1053,10.1575,1329.9,11604.0,1179.7
DANIEL PEREIRA,Aframax,2025,0.1956,1.6358,0.253,7.7325,7219.9,55697.5,4692.57
EDUARDO COSTA,MR 2,2025,0.2128,1.0033,0.353,8.0489,2630.5,26570.0,2529.85
FELIPE RIBEIRO,Suezmax,2025,0.1747,1.6821,0.2394,7.5396,9031.529,65671.7,5323.53
FÁBIO SANTOS,Gaseiro 7k,2025,0.0446,0.4413,0.6033,29.9776,1488.189,37498.8,3198.31
GABRIELA MARTINS,Aframax,2025,0.1603,1.4263,0.2409,8.3631,6869.1,57627.9,4703.53
GISELLE CARVALHO,Suezmax,2025,0.1618,1.6347,0.2909,7.8717,7524.813,56432.8,4522.55
HENRIQUE ALVES,Suezmax,2025,0.23,1.5837,0.2198,6.9795,7582.4,50375.0,4708.18
LUCAS MENDONÇA,MR 2,2025,0.1061,0.8705,0.2345,12.1127,1966.47,26564.3,2311.03
MARCOS CAVALCANTI,Suezmax,2025,0.2159,1.781,0.2161,6.7174,8494.792,54534.3,4713.37
MARIA VALENTINA,Gaseiro 7k,2025,0.06,0.4449,0.6025,23.5778,1430.497,41302.9,3287.94
PAULO MOURA,Suezmax,2025,0.2121,1.7988,0.2124,9.9145,8564.581,51211.8,4838.83
RAFAEL SANTOS,Suezmax,2025,0.1795,1.8076,0.28,6.6845,9550.1,61148.6,5051.7
RAUL MARTINS,Suezmax,2025,0.2198,1.9564,0.2354,7.0541,6867.084,47767.1,4017.27
RENATO GOMES,Aframax,2025,0.1478,1.2945,0.211,9.862,3669.98,29284.2,2624.89
RICARDO BARBOSA,Gaseiro 7k,2025,0.0527,0.4273,0.5741,26.1815,1266.379,36328.5,3100.12
RODRIGO PINHEIRO,Aframax,2025,0.1282,1.231,0.2347,13.2742,6051.64,63813.3,5090.87
ROMARIO SILVA,MR 2,2025,0.1005,0.8446,0.3002,15.462,2711.53,36205.34,2813.19
THIAGO FERNANDES,MR 2,2025,0.1776,1.0338,0.2565,10.0229,2118.58,25560.0,2234.27
TOTAL_FROTA,TODAS,2025,0.15,1.2396,0.3155,12.8188,105134.483,926359.74,78636.64
VICTOR OLIVEIRA,Suezmax,2025,0.1543,1.4828,0.2276,7.7503,7369.95,53921.5,4682.89
