shipName,Classe,ano,mes,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
LUCAS MENDONÇA,MR 2,2021,10,0.097,0.9945,0.3535,11.7391,374.2,4655.5,349.01
MARCOS CAVALCANTI,Suezmax,2021,10,0.1817,1.5432,0.164,9.0846,489.79,4089.0,326.49
MARIA VALENTINA,Gaseiro 7k,2021,10,0.0617,0.4841,0.6314,25.4566,169.6008,4742.5,371.32
PAULO MOURA,Suezmax,2021,10,0.1164,1.5137,0.4049,8.8276,1083.0,9465.0,715.98
RAFAEL SANTOS,Suezmax,2021,10,0.3409,4.1677,0.4779,9.8018,1517.2,3362.0,274.92
RAUL MARTINS,Suezmax,2021,10,0.1334,1.5752,0.4128,7.8868,1109.5,9008.8,706.4
RENATO GOMES,Aframax,2021,10,0.1906,1.7192,0.2463,6.2422,955.529,6448.3,555.79
RICARDO BARBOSA,Gaseiro 7k,2021,10,0.0404,0.382,0.5225,26.2872,163.2,4742.5,409.01
RODRIGO PINHEIRO,Aframax,2021,10,0.1425,1.6631,0.3161,7.0972,1246.7,8906.0,743.33
ROMARIO SILVA,MR 2,2021,10,0.1397,0.7366,0.1704,12.4224,160.2,2156.5,243.4
THIAGO FERNANDES,MR 2,2021,10,0.1044,1.13,0.2577,10.9884,71.7,905.3,62.58
TOTAL_FROTA,TODAS,2021,10,0.1431,1.4455,0.3747,12.5663,13918.1118,110816.4,8959.21
BRUNO LIMA,Gaseiro 7k,2021,11,0.0463,0.4985,0.5038,25.5518,96.254,2696.5,216.93
CARLA SILVA,Aframax,2021,11,0.1921,1.5832,0.1432,5.5083,174.0,1227.0,108.57
DANIEL PEREIRA,Aframax,2021,11,0.8246,1.9666,0.4588,6.3886,409.0,3209.5,244.07
EDUARDO COSTA,MR 2,2021,11,0.132,1.1275,0.6114,9.0835,461.29,4502.0,415.42
FELIPE RIBEIRO,Suezmax,2021,11,0.4008,1.9266,0.2852,4.6495,770.55,4412.5,356.28
FÁBIO SANTOS,Gaseiro 7k,2021,11,0.4783,0.393,0.3906,32.9306,88.3,2143.8,215.92
GABRIELA MARTINS,Aframax,2021,11,0.2328,1.6767,0.2948,6.5005,869.5963,6261.0,493.7
GISELLE CARVALHO,Suezmax,2021,11,0.1882,1.8985,0.3589,6.7308,838.29,5229.0,445.68
HENRIQUE ALVES,Suezmax,2021,11,0.1784,2.1163,0.6232,5.6485,1522.0,8561.0,720.0
LUCAS MENDONÇA,MR 2,2021,11,0.0968,0.9489,0.455,12.4242,277.2,3846.6,283.0
MARCOS CAVALCANTI,Suezmax,2021,11,0.155,1.7478,0.2024,6.7796,779.3,5535.0,441.71
MARIA VALENTINA,Gaseiro 7k,2021,11,0.0479,0.4487,0.6528,27.4483,146.1492,4542.0,371.24
PAULO MOURA,Suezmax,2021,11,0.1399,1.7889,0.2694,7.3311,442.0,3122.0,244.0
RAFAEL SANTOS,Suezmax,2021,11,0.1923,1.7144,0.1936,6.1731,430.9,2920.0,239.51
RAUL MARTINS,Suezmax,2021,11,0.1717,1.787,0.2239,6.1741,742.64,4877.0,427.95
RENATO GOMES,Aframax,2021,11,0.1935,1.5571,0.2774,7.0278,855.17,6266.5,515.37
RICARDO BARBOSA,Gaseiro 7k,2021,11,0.044,0.4119,0.6186,25.2444,115.7,3404.0,271.16
RODRIGO PINHEIRO,Aframax,2021,11,0.1369,1.4292,0.4184,8.0055,836.41,7411.0,562.28
ROMARIO SILVA,MR 2,2021,11,0.0792,0.6084,0.1778,22.4818,190.87,2647.7,279.76
THIAGO FERNANDES,MR 2,2021,11,0.0841,1.0752,0.2656,12.0709,254.5,3185.0,232.18
TOTAL_FROTA,TODAS,2021,11,0.1924,1.3154,0.3763,12.5507,10300.1195,85999.1,7084.73
BRUNO LIMA,Gaseiro 7k,2021,12,0.0488,0.4934,0.3573,24.6607,75.02,2179.0,180.57
CARLA SILVA,Aframax,2021,12,0.1853,1.5426,0.1756,6.263,475.6,3624.0,314.4
DANIEL PEREIRA,Aframax,2021,12,0.162,1.7845,0.248,6.7676,714.5,4605.2,394.86
EDUARDO COSTA,MR 2,2021,12,0.1517,1.1162,0.7409,8.4636,270.54,2381.0,243.58
FELIPE RIBEIRO,Suezmax,2021,12,0.1813,2.255,0.3014,5.5408,1437.28,8019.0,632.0
GABRIELA MARTINS,Aframax,2021,12,0.1531,1.5486,0.2591,6.9598,1028.77,7415.0,631.4
GISELLE CARVALHO,Suezmax,2021,12,0.199,2.1491,0.2708,5.4636,1384.0,7796.0,635.9
HENRIQUE ALVES,Suezmax,2021,12,0.396,1.4299,0.1141,3.6001,65.0,371.0,36.4
LUCAS MENDONÇA,MR 2,2021,12,0.1009,1.0017,0.2559,11.1229,244.36,2949.0,237.3
MARCOS CAVALCANTI,Suezmax,2021,12,0.1621,1.5326,0.1752,7.435,684.2,5747.0,460.49
MARIA VALENTINA,Gaseiro 7k,2021,12,0.0443,0.4305,0.5503,24.4142,150.8,3971.5,340.59
PAULO MOURA,Suezmax,2021,12,0.1505,1.8491,0.2491,6.7008,1076.0,7082.0,565.9
RAFAEL SANTOS,Suezmax,2021,12,0.1641,1.7344,0.2072,6.8268,701.35,5028.0,407.42
RAUL MARTINS,Suezmax,2021,12,0.1534,1.6445,0.1975,7.0639,710.0,5258.0,450.83
RENATO GOMES,Aframax,2021,12,0.2115,1.6341,0.5366,7.5144,889.0,7267.0,586.85
RICARDO BARBOSA,Gaseiro 7k,2021,12,0.0446,0.4308,0.6225,24.3512,193.55,5336.0,427.37
RODRIGO PINHEIRO,Aframax,2021,12,0.1607,1.5571,0.3187,7.3879,1060.9,7923.0,662.57
ROMARIO SILVA,MR 2,2021,12,0.1131,0.749,0.2583,15.5387,99.06,1339.5,108.18
THIAGO FERNANDES,MR 2,2021,12,0.1128,1.1927,0.3158,10.8057,312.2,3244.0,263.62
TOTAL_FROTA,TODAS,2021,12,0.1431,1.3932,0.3253,10.6337,11667.99,92084.2,7625.81
VICTOR OLIVEIRA,Suezmax,2021,12,0.1346,1.4991,0.1999,8.6012,95.86,549.0,45.58
BRUNO LIMA,Gaseiro 7k,2022,1,0.0497,0.4285,0.6087,28.9749,180.26,5979.5,464.66
CARLA SILVA,Aframax,2022,1,0.2625,1.5562,0.1245,4.9202,163.1,1107.8,100.2
DANIEL PEREIRA,Aframax,2022,1,0.1851,2.0126,0.2844,5.8161,913.0,5684.0,484.04
FELIPE RIBEIRO,Suezmax,2022,1,0.3313,1.918,0.0868,3.6171,91.8,385.2,43.94
FÁBIO SANTOS,Gaseiro 7k,2022,1,0.05,0.4,0.0715,20.0,0.5,10.0,1.25
GABRIELA MARTINS,Aframax,2022,1,0.1368,1.2063,0.241,8.751,591.827,4857.0,415.97
GISELLE CARVALHO,Suezmax,2022,1,0.2578,1.9735,0.1864,6.3538,566.6,3646.0,275.78
HENRIQUE ALVES,Suezmax,2022,1,0.5815,2.5136,0.2237,3.9532,385.0,1933.5,191.4
LUCAS MENDONÇA,MR 2,2022,1,0.1352,1.0105,0.2246,9.802,366.25,4486.0,352.95
MARCOS CAVALCANTI,Suezmax,2022,1,0.1775,1.4294,0.1345,7.5817,652.15,5110.0,478.37
MARIA VALENTINA,Gaseiro 7k,2022,1,0.0442,0.4319,0.7324,26.4036,197.44,5170.0,438.41
PAULO MOURA,Suezmax,2022,1,0.1042,1.4104,0.444,10.7806,284.0,2515.0,178.27
RAFAEL SANTOS,Suezmax,2022,1,0.1717,1.9502,0.2728,6.1794,1307.0,8159.0,673.5
RAUL MARTINS,Suezmax,2022,1,0.1501,1.7147,0.375,7.2365,978.76,7445.5,586.58
RENATO GOMES,Aframax,2022,1,0.3329,1.487,0.172,6.6549,652.78,5565.0,549.58
RICARDO BARBOSA,Gaseiro 7k,2022,1,0.0452,0.4682,0.7308,23.0346,209.85,5200.5,442.37
RODRIGO PINHEIRO,Aframax,2022,1,0.1536,1.498,0.2538,7.164,775.65,6077.6,478.61
ROMARIO SILVA,MR 2,2022,1,0.2208,1.0309,0.1764,8.1188,209.0,2180.0,219.31
THIAGO FERNANDES,MR 2,2022,1,0.1474,1.4393,0.5062,11.4375,339.26,3543.0,286.91
TOTAL_FROTA,TODAS,2022,1,0.1751,1.3403,0.3281,11.3356,9210.977,81263.1,7029.11
VICTOR OLIVEIRA,Suezmax,2022,1,0.1912,1.7518,0.143,8.8008,346.75,2208.5,367.01
BRUNO LIMA,Gaseiro 7k,2022,2,0.048,0.4502,0.5706,23.3873,105.57,2912.0,234.58
CARLA SILVA,Aframax,2022,2,0.1706,1.2781,0.1679,6.901,405.7,3066.7,321.0
DANIEL PEREIRA,Aframax,2022,2,0.1176,1.4896,0.5382,8.8414,979.0,8861.0,661.25
EDUARDO COSTA,MR 2,2022,2,0.0857,1.1148,0.7184,12.2574,372.37,4757.0,333.0
FELIPE RIBEIRO,Suezmax,2022,2,0.2136,2.1638,0.2813,5.0397,1388.0,6383.0,619.0
FÁBIO SANTOS,Gaseiro 7k,2022,2,0.0646,0.3938,0.3917,24.4213,58.78,1595.0,151.03
GABRIELA MARTINS,Aframax,2022,2,0.0914,1.2204,0.4536,12.3454,711.2,7464.0,556.8
GISELLE CARVALHO,Suezmax,2022,2,0.1744,1.9106,0.4834,7.79,1141.4,7460.6,586.84
HENRIQUE ALVES,Suezmax,2022,2,0.4559,2.1355,0.2528,3.7502,367.0,1845.5,188.4
LUCAS MENDONÇA,MR 2,2022,2,0.2862,0.8492,0.1595,8.0341,126.68,1394.54,175.85
MARCOS CAVALCANTI,Suezmax,2022,2,0.2135,1.6358,0.1771,6.4948,516.1,3864.0,298.41
MARIA VALENTINA,Gaseiro 7k,2022,2,0.0676,0.444,0.8215,24.9949,179.28,5098.0,403.92
PAULO MOURA,Suezmax,2022,2,0.1272,1.6232,0.3241,7.9547,654.0,5097.0,401.9
RAFAEL SANTOS,Suezmax,2022,2,0.1497,1.7436,0.4905,6.817,729.0,4988.0,409.83
RAUL MARTINS,Suezmax,2022,2,0.1527,1.8251,0.2806,7.3898,996.2,6963.3,549.57
RENATO GOMES,Aframax,2022,2,0.2006,1.5098,0.4208,7.8138,641.55,4939.5,412.0
RICARDO BARBOSA,Gaseiro 7k,2022,2,0.0496,0.4479,0.5448,22.7961,133.1,3314.0,286.66
RODRIGO PINHEIRO,Aframax,2022,2,0.1156,1.4274,0.4939,9.1574,792.1,7334.0,548.22
ROMARIO SILVA,MR 2,2022,2,0.2378,0.9855,0.2494,10.8555,184.68,2207.0,179.84
THIAGO FERNANDES,MR 2,2022,2,0.1513,0.8454,0.2244,13.8961,132.2,1213.0,163.51
TOTAL_FROTA,TODAS,2022,2,0.1595,1.3444,0.4018,11.278,11403.46,94759.64,7955.34
VICTOR OLIVEIRA,Suezmax,2022,2,0.2619,2.3533,0.2192,5.2963,789.55,4002.5,473.73
BRUNO LIMA,Gaseiro 7k,2022,3,0.0548,0.4506,0.5436,23.5412,140.69,3940.5,312.57
CARLA SILVA,Aframax,2022,3,0.1644,1.5561,0.2665,6.6311,997.25,7067.0,636.0
DANIEL PEREIRA,Aframax,2022,3,0.1718,1.8268,0.3394,8.8531,325.0,2706.0,207.16
EDUARDO COSTA,MR 2,2022,3,0.144,1.0871,0.3089,21.6878,265.13,4879.02,228.5
FELIPE RIBEIRO,Suezmax,2022,3,0.2156,1.7415,0.2163,5.7174,728.0,3677.0,348.96
FÁBIO SANTOS,Gaseiro 7k,2022,3,0.0581,0.3756,0.482,24.7279,105.97,2551.4,247.0
GABRIELA MARTINS,Aframax,2022,3,0.2599,1.4865,0.1576,6.7013,471.7,3428.0,336.37
GISELLE CARVALHO,Suezmax,2022,3,0.2486,2.0237,0.263,5.4146,966.6,6165.8,498.77
HENRIQUE ALVES,Suezmax,2022,3,0.4747,2.1473,0.2565,4.2507,753.0,3514.0,400.53
LUCAS MENDONÇA,MR 2,2022,3,0.1526,0.9193,0.1692,10.0205,183.96,2308.4,197.35
MARCOS CAVALCANTI,Suezmax,2022,3,0.1395,1.5547,0.3347,7.8549,881.85,7085.0,557.74
MARIA VALENTINA,Gaseiro 7k,2022,3,0.0642,0.4611,0.8137,25.4056,150.52,4263.5,350.75
PAULO MOURA,Suezmax,2022,3,0.1528,1.8461,0.2685,6.6401,824.0,5521.0,438.8
RAFAEL SANTOS,Suezmax,2022,3,0.2076,2.2756,0.4694,6.4095,535.0,3455.0,301.0
RAUL MARTINS,Suezmax,2022,3,0.1152,1.2586,0.3614,10.8865,625.2,5201.2,463.48
RENATO GOMES,Aframax,2022,3,0.1428,1.6621,0.3017,7.1261,1152.85,8274.0,687.1
RICARDO BARBOSA,Gaseiro 7k,2022,3,0.0443,0.4175,0.5344,26.8255,203.99,5400.0,481.58
RODRIGO PINHEIRO,Aframax,2022,3,0.1646,1.3418,0.276,8.1993,719.62,6617.5,520.55
ROMARIO SILVA,MR 2,2022,3,0.1099,0.9759,0.3135,10.3823,367.77,4056.15,357.89
THIAGO FERNANDES,MR 2,2022,3,0.0898,1.0387,0.3506,11.9717,237.615,3143.0,228.08
TOTAL_FROTA,TODAS,2022,3,0.1611,1.3367,0.3514,12.0153,12121.715,101404.47,8475.38
VICTOR OLIVEIRA,Suezmax,2022,3,0.2029,2.2659,0.3503,5.7104,1486.0,8151.0,675.2
BRUNO LIMA,Gaseiro 7k,2022,4,0.0442,0.4499,0.6911,24.7236,219.64,6049.0,489.84
CARLA SILVA,Aframax,2022,4,0.1411,1.4666,0.4837,7.8497,891.5,7491.0,603.2
DANIEL PEREIRA,Aframax,2022,4,0.2258,1.6837,0.2487,7.9222,675.0,5327.0,417.77
EDUARDO COSTA,MR 2,2022,4,0.15,1.1751,0.3822,9.7803,326.95,3468.0,269.01
FELIPE RIBEIRO,Suezmax,2022,4,0.2257,2.1968,0.6511,5.0708,1591.0,8174.0,720.0
FÁBIO SANTOS,Gaseiro 7k,2022,4,0.0527,0.5693,0.4603,24.4905,82.53,2155.5,175.99
GABRIELA MARTINS,Aframax,2022,4,0.1508,1.6131,0.2948,7.2686,989.0,6862.0,600.77
GISELLE CARVALHO,Suezmax,2022,4,0.2037,2.0472,0.4309,5.8927,1048.4,6844.55,515.58
HENRIQUE ALVES,Suezmax,2022,4,0.2061,1.7156,0.2442,5.8624,601.0,3300.0,367.3
LUCAS MENDONÇA,MR 2,2022,4,0.1149,0.9473,0.2307,10.1154,191.4,2372.7,201.25
MARCOS CAVALCANTI,Suezmax,2022,4,0.1974,1.6075,0.2081,6.0892,603.95,4287.0,346.67
MARIA VALENTINA,Gaseiro 7k,2022,4,0.1538,0.6921,0.1726,15.25,6.07,109.0,12.25
PAULO MOURA,Suezmax,2022,4,0.1514,1.4672,0.1334,7.3352,482.95,3245.4,271.47
RAFAEL SANTOS,Suezmax,2022,4,0.1908,2.3658,0.3019,7.1478,1266.0,6598.0,532.0
RAUL MARTINS,Suezmax,2022,4,0.1774,1.9074,0.2587,5.8082,943.0,5609.0,463.4
RENATO GOMES,Aframax,2022,4,0.2233,1.619,0.3504,6.0491,603.13,4601.9,381.0
RICARDO BARBOSA,Gaseiro 7k,2022,4,0.0442,0.352,0.3743,25.763,94.102,2809.0,245.25
RODRIGO PINHEIRO,Aframax,2022,4,0.394,1.4294,0.3193,7.4445,716.52,5851.6,502.43
ROMARIO SILVA,MR 2,2022,4,0.0985,0.9421,0.2772,12.1537,280.74,3501.9,262.33
THIAGO FERNANDES,MR 2,2022,4,0.1397,1.0514,0.2227,8.8255,192.436,2243.0,180.4
TOTAL_FROTA,TODAS,2022,4,0.1641,1.4247,0.3646,10.5651,12797.318,97178.55,8035.24
VICTOR OLIVEIRA,Suezmax,2022,4,0.194,2.2233,0.4505,9.7716,992.0,6279.0,477.33
BRUNO LIMA,Gaseiro 7k,2022,5,0.0458,0.4494,0.6745,24.5321,178.66,5136.5,397.15
CARLA SILVA,Aframax,2022,5,0.3354,2.8726,0.3103,11.348,478.0,3426.0,298.8
DANIEL PEREIRA,Aframax,2022,5,0.115,1.3651,0.5425,10.3642,651.0,5619.0,468.25
EDUARDO COSTA,MR 2,2022,5,0.138,1.1402,0.4711,8.8576,227.31,2076.5,203.93
FELIPE RIBEIRO,Suezmax,2022,5,0.2338,1.8167,0.2148,4.8246,424.394,2211.0,225.01
FÁBIO SANTOS,Gaseiro 7k,2022,5,0.0429,0.3944,0.5042,26.5117,133.799,4062.4,342.32
GABRIELA MARTINS,Aframax,2022,5,0.0954,1.1532,0.3679,16.3023,428.0,3927.0,303.74
GISELLE CARVALHO,Suezmax,2022,5,0.6415,2.1037,0.2674,5.8917,825.9,4980.8,395.17
HENRIQUE ALVES,Suezmax,2022,5,0.324,1.7666,0.1286,4.1191,365.0,1853.0,195.6
LUCAS MENDONÇA,MR 2,2022,5,0.1284,1.0477,0.317,9.2721,467.7,4723.6,430.6
MARCOS CAVALCANTI,Suezmax,2022,5,0.2373,1.6118,0.1782,6.3397,479.0,3516.0,295.9
MARIA VALENTINA,Gaseiro 7k,2022,5,0.0532,0.492,0.7815,21.1997,165.28,3914.0,336.84
PAULO MOURA,Suezmax,2022,5,0.1592,1.7236,0.205,6.5357,958.96,6342.5,532.7
RAFAEL SANTOS,Suezmax,2022,5,0.208,2.0575,0.2217,7.9534,585.0,4789.0,388.22
RAUL MARTINS,Suezmax,2022,5,0.2365,1.8947,0.2107,5.6401,432.0,2654.7,209.24
RENATO GOMES,Aframax,2022,5,0.1935,1.3218,0.4377,8.9882,642.421,6365.3,515.48
RICARDO BARBOSA,Gaseiro 7k,2022,5,0.048,0.3709,0.4743,24.9502,139.68,3978.5,351.71
RODRIGO PINHEIRO,Aframax,2022,5,0.1532,1.4327,0.2312,11.3672,730.62,5494.8,467.63
ROMARIO SILVA,MR 2,2022,5,0.3355,1.9938,0.3066,9.2204,271.2,3178.0,256.72
