navio,numero_periodo,tem_docagem,data_docagem,periodo_inicio,periodo_fim,dias_periodo,num_registros,taxa_deterioracao_dia,taxa_deterioracao_mes,taxa_deterioracao_ano,consumo_inicial_estimado,consumo_final_estimado,aumento_percentual_periodo,consumo_medio,consumo_std,r2,mae,rmse,distancia_total_nm,consumo_total_ton
LUCAS MENDONÇA,1,True,2024-02-13,2024-02-13,2025-11-19 19:54:00,645,484,-9.6e-05,-0.002871,-0.034926,0.1473,0.0856,-41.9,0.1176,0.1084,0.0234,0.0618,0.1071,60254.6,4508.4
MARCOS CAVALCANTI,1,True,2021-05-08,2021-05-08,2025-11-24 01:40:00,1661,1356,2e-06,7.3e-05,0.000885,0.1812,0.1853,2.22,0.1834,0.1319,0.0001,0.0784,0.1319,267680.2,37523.43
MARIA VALENTINA,1,True,2022-04-28,2022-04-28,2025-11-04 11:00:00,1286,1096,5e-06,0.000153,0.001858,0.0531,0.0596,12.33,0.0563,0.0455,0.0018,0.0275,0.0454,150760.3,5391.15
PAULO MOURA,1,True,2021-01-21,2021-01-21,2025-11-01 00:00:00,1745,1237,5.3e-05,0.001596,0.019413,0.1234,0.2162,75.24,0.1765,0.1212,0.0403,0.0587,0.1187,267520.6,40295.08
RAFAEL SANTOS,1,True,2022-07-08,2022-07-08,2025-11-24 09:00:00,1235,968,-2.6e-05,-0.000787,-0.009569,0.1906,0.1582,-16.99,0.1741,0.1189,0.0063,0.0623,0.1184,212619.4,31234.94
RAUL MARTINS,1,True,2020-10-16,2020-10-16,2025-05-10 00:00:00,1667,1147,1.9e-05,0.000556,0.006763,0.1756,0.2065,17.59,0.1931,0.1247,0.0036,0.0679,0.1245,239055.1,37783.33
RAUL MARTINS,2,True,2025-05-10,2025-05-10,2025-11-25 09:00:00,199,162,-0.000234,-0.007011,-0.085296,0.2138,0.1673,-21.75,0.1898,0.1477,0.0089,0.0896,0.1466,33382.7,4744.12
RENATO GOMES,1,True,2024-01-07,2024-01-07,2025-11-24 08:00:00,687,429,3.9e-05,0.001162,0.014137,0.1097,0.1363,24.25,0.1224,0.0745,0.0117,0.0349,0.0739,99428.7,11041.38
RICARDO BARBOSA,1,True,2021-10-06,2021-10-06,2025-10-06 00:00:00,1461,1286,3e-06,8.7e-05,0.001062,0.0465,0.0507,9.15,0.0485,0.0361,0.0012,0.0189,0.036,186342.0,6745.67
RODRIGO PINHEIRO,1,True,2024-08-26,2024-08-26,2025-11-16 02:00:00,447,359,-6e-06,-0.000168,-0.002038,0.12,0.1175,-2.08,0.1187,0.1051,0.0,0.0455,0.105,87918.4,8565.18
ROMARIO SILVA,1,True,2023-05-18,2023-05-18,2025-11-19 01:25:00,916,688,-1.6e-05,-0.000474,-0.005763,0.111,0.0965,-13.03,0.1035,0.0935,0.002,0.0512,0.0933,92795.58,6889.72
THIAGO FERNANDES,1,True,2023-01-18,2023-01-18,2025-11-12 18:30:00,1029,801,3.2e-05,0.000958,0.011655,0.1127,0.1456,29.16,0.129,0.1132,0.0065,0.0685,0.1128,101252.1,8186.06
VICTOR OLIVEIRA,1,True,2023-06-30,2023-06-30,2025-11-18 00:00:00,872,725,8e-06,0.000227,0.002764,0.1541,0.1607,4.29,0.1574,0.0986,0.0004,0.0504,0.0985,159272.0,21768.97
