"SESSION_ID","CONSUMED_QUANTITY","DESCRIPTION"
39800000707,,ULSMGO 0.1
39800000707,51.0000,LSHFO 0.5
39800000710,,ULSMGO 0.1
39800000710,20.0000,LSHFO 0.5
39800000712,,ULSMGO 0.1
39800000712,48.0000,LSHFO 0.5
39800000714,,ULSMGO 0.1
39800000714,47.0000,LSHFO 0.5
39800000716,,ULSMGO 0.1
39800000716,50.0000,LSHFO 0.5
39800000718,,ULSMGO 0.1
39800000718,48.0000,LSHFO 0.5
39800000720,,ULSMGO 0.1
39800000720,47.0000,LSHFO 0.5
39800000722,,ULSMGO 0.1
39800000722,50.0000,LSHFO 0.5
39800000724,,ULSMGO 0.1
39800000724,47.0000,LSHFO 0.5
39800000726,,ULSMGO 0.1
39800000726,45.0000,LSHFO 0.5
39800000728,,ULSMGO 0.1
39800000728,46.0000,LSHFO 0.5
39800000730,,ULSMGO 0.1
39800000730,42.0000,LSHFO 0.5
39800000732,,ULSMGO 0.1
39800000732,45.0000,LSHFO 0.5
39800000734,,ULSMGO 0.1
39800000734,39.0000,LSHFO 0.5
39800000736,,ULSMGO 0.1
39800000736,39.0000,LSHFO 0.5
39800000738,,ULSMGO 0.1
39800000738,44.0000,LSHFO 0.5
39800000740,,ULSMGO 0.1
39800000740,46.0000,LSHFO 0.5
39800000742,,ULSMGO 0.1
39800000742,46.0000,LSHFO 0.5
39800000744,,ULSMGO 0.1
39800000744,43.0000,LSHFO 0.5
39800000746,,ULSMGO 0.1
39800000746,39.0000,LSHFO 0.5
39800000749,,ULSMGO 0.1
39800000749,10.0000,LSHFO 0.5
39800000754,,ULSMGO 0.1
39800000754,4.0000,LSHFO 0.5
39800000758,0.0000,ULSMGO 0.1
39800000758,0.0000,LSHFO 0.5
39800000758,0.0000,VLSHFO 0.1
39800000762,,ULSMGO 0.1
39800000762,,LSHFO 0.5
39800000766,,ULSMGO 0.1
39800000766,4.0000,LSHFO 0.5
39800000770,,ULSMGO 0.1
39800000770,,LSHFO 0.5
39800000787,,ULSMGO 0.1
39800000787,,LSHFO 0.5
39800000792,,ULSMGO 0.1
39800000792,5.0000,LSHFO 0.5
39800000809,,ULSMGO 0.1
39800000809,5.0000,LSHFO 0.5
39800000813,,ULSMGO 0.1
39800000813,40.0000,LSHFO 0.5
39800000815,,ULSMGO 0.1
39800000815,40.0000,LSHFO 0.5
39800000817,,ULSMGO 0.1
39800000817,43.0000,LSHFO 0.5
39800000820,,ULSMGO 0.1
39800000820,45.0000,LSHFO 0.5
39800000822,,ULSMGO 0.1
39800000822,43.0000,LSHFO 0.5
39800000824,,ULSMGO 0.1
39800000824,45.0000,LSHFO 0.5
39800000826,,ULSMGO 0.1
39800000826,45.0000,LSHFO 0.5
39800000828,,ULSMGO 0.1
39800000828,44.0000,LSHFO 0.5
39800000830,,ULSMGO 0.1
39800000830,45.0000,LSHFO 0.5
39800000832,,ULSMGO 0.1
39800000832,46.0000,LSHFO 0.5
39800000834,,ULSMGO 0.1
39800000834,45.0000,LSHFO 0.5
39800000836,,ULSMGO 0.1
39800000836,45.0000,LSHFO 0.5
39800000838,,ULSMGO 0.1
39800000838,42.0000,LSHFO 0.5
39800000840,,ULSMGO 0.1
39800000840,37.0000,LSHFO 0.5
39800000842,,ULSMGO 0.1
39800000842,38.0000,LSHFO 0.5
39800000844,,ULSMGO 0.1
39800000844,37.0000,LSHFO 0.5
39800000846,,ULSMGO 0.1
39800000846,35.0000,LSHFO 0.5
39800000848,,ULSMGO 0.1
39800000848,35.0000,LSHFO 0.5
39800000850,,ULSMGO 0.1
39800000850,38.0000,LSHFO 0.5
39800000852,,ULSMGO 0.1
39800000852,37.0000,LSHFO 0.5
39800000854,,ULSMGO 0.1
39800000854,37.0000,LSHFO 0.5
39800000856,,ULSMGO 0.1
39800000856,41.0000,LSHFO 0.5
39800000858,,ULSMGO 0.1
39800000858,40.0000,LSHFO 0.5
39800000860,,ULSMGO 0.1
39800000860,42.0000,LSHFO 0.5
39800000864,,ULSMGO 0.1
39800000864,43.0000,LSHFO 0.5
39800000866,,ULSMGO 0.1
39800000866,44.0000,LSHFO 0.5
39800000882,,ULSMGO 0.1
39800000882,,LSHFO 0.5
39800000884,,ULSMGO 0.1
39800000884,,LSHFO 0.5
39800000887,,ULSMGO 0.1
39800000887,,LSHFO 0.5
39800000889,,ULSMGO 0.1
39800000889,,LSHFO 0.5
39800000891,,ULSMGO 0.1
39800000891,,LSHFO 0.5
39800000893,,ULSMGO 0.1
39800000893,,LSHFO 0.5
39800000897,,ULSMGO 0.1
39800000897,,LSHFO 0.5
39800000901,,ULSMGO 0.1
39800000901,,LSHFO 0.5
39800000903,,ULSMGO 0.1
39800000903,,LSHFO 0.5
39800000905,,ULSMGO 0.1
39800000905,,LSHFO 0.5
39800000907,,ULSMGO 0.1
39800000907,,LSHFO 0.5
39800000913,,ULSMGO 0.1
39800000913,1.0000,LSHFO 0.5
39800000919,,ULSMGO 0.1
39800000919,,LSHFO 0.5
39800000923,,ULSMGO 0.1
39800000923,1.0000,LSHFO 0.5
39800000925,,ULSMGO 0.1
39800000925,,LSHFO 0.5
39800000927,,ULSMGO 0.1
39800000927,,LSHFO 0.5
39800000933,,ULSMGO 0.1
39800000933,,LSHFO 0.5
39800000938,,ULSMGO 0.1
39800000938,,LSHFO 0.5
39800000947,,ULSMGO 0.1
39800000947,15.0000,LSHFO 0.5
39800000952,0.0000,ULSMGO 0.1
39800000952,0.0000,LSHFO 0.5
39800000989,,ULSMGO 0.1
39800000989,4.0000,LSHFO 0.5
39800000993,,ULSMGO 0.1
39800000993,4.0000,LSHFO 0.5
39800000995,,ULSMGO 0.1
39800000995,38.0000,LSHFO 0.5
39800000997,,ULSMGO 0.1
39800000997,37.0000,LSHFO 0.5
39800000999,,ULSMGO 0.1
39800000999,48.0000,LSHFO 0.5
39800001007,,ULSMGO 0.1
39800001007,,LSHFO 0.5
39800001009,,ULSMGO 0.1
39800001009,,LSHFO 0.5
39800001011,,ULSMGO 0.1
39800001011,,LSHFO 0.5
39800001014,0.0000,ULSMGO 0.1
39800001014,0.0000,LSHFO 0.5
39800001018,0.0000,ULSMGO 0.1
39800001018,3.0000,LSHFO 0.5
39800001030,,ULSMGO 0.1
39800001030,2.0000,LSHFO 0.5
39800001036,,ULSMGO 0.1
39800001036,2.0000,LSHFO 0.5
39800001040,,ULSMGO 0.1
39800001040,,LSHFO 0.5
39800001042,,ULSMGO 0.1
39800001042,,LSHFO 0.5
39800001045,,ULSMGO 0.1
39800001045,,LSHFO 0.5
39800001047,,ULSMGO 0.1
39800001047,,LSHFO 0.5
39800001049,,ULSMGO 0.1
39800001049,,LSHFO 0.5
39800001062,,ULSMGO 0.1
39800001062,1.0000,LSHFO 0.5
39800001066,,ULSMGO 0.1
39800001066,1.0000,LSHFO 0.5
39800001076,,ULSMGO 0.1
39800001076,10.0000,LSHFO 0.5
39800001080,,ULSMGO 0.1
39800001080,2.0000,LSHFO 0.5
39800001089,,ULSMGO 0.1
39800001089,,LSHFO 0.5
39800001105,,ULSMGO 0.1
39800001105,,LSHFO 0.5
39800001109,0.0000,ULSMGO 0.1
39800001109,0.0000,LSHFO 0.5
39800001113,,ULSMGO 0.1
39800001113,2.5000,LSHFO 0.5
39800001117,,ULSMGO 0.1
39800001117,,LSHFO 0.5
39800001131,,ULSMGO 0.1
39800001131,25.0000,LSHFO 0.5
39800001133,,ULSMGO 0.1
39800001133,43.0000,LSHFO 0.5
39800001135,,ULSMGO 0.1
39800001135,47.0000,LSHFO 0.5
39800001137,,ULSMGO 0.1
39800001137,47.0000,LSHFO 0.5
39800001139,,ULSMGO 0.1
39800001139,47.0000,LSHFO 0.5
39800001141,,ULSMGO 0.1
39800001141,50.0000,LSHFO 0.5
39800001143,,ULSMGO 0.1
39800001143,45.0000,LSHFO 0.5
39800001145,,ULSMGO 0.1
39800001145,49.0000,LSHFO 0.5
39800001147,,ULSMGO 0.1
39800001147,41.0000,LSHFO 0.5
39800001149,,ULSMGO 0.1
39800001149,41.0000,LSHFO 0.5
39800001151,,ULSMGO 0.1
39800001151,41.0000,LSHFO 0.5
39800001153,,ULSMGO 0.1
39800001153,41.0000,LSHFO 0.5
39800001155,,ULSMGO 0.1
39800001155,46.0000,LSHFO 0.5
39800001157,,ULSMGO 0.1
39800001157,46.0000,LSHFO 0.5
39800001159,,ULSMGO 0.1
39800001159,46.0000,LSHFO 0.5
39800001162,,ULSMGO 0.1
39800001162,43.0000,LSHFO 0.5
39800001164,,ULSMGO 0.1
39800001164,43.0000,LSHFO 0.5
39800001166,,ULSMGO 0.1
39800001166,48.0000,LSHFO 0.5
39800001168,,ULSMGO 0.1
39800001168,50.0000,LSHFO 0.5
39800001170,,ULSMGO 0.1
39800001170,44.0000,LSHFO 0.5
39800001173,,ULSMGO 0.1
39800001173,44.0000,LSHFO 0.5
39800001175,,ULSMGO 0.1
39800001175,41.0000,LSHFO 0.5
39800001177,,ULSMGO 0.1
39800001177,40.0000,LSHFO 0.5
39800001179,,ULSMGO 0.1
39800001179,40.0000,LSHFO 0.5
39800001181,,ULSMGO 0.1
39800001181,45.0000,LSHFO 0.5
39800001183,,ULSMGO 0.1
39800001183,47.0000,LSHFO 0.5
39800001185,,ULSMGO 0.1
39800001185,45.0000,LSHFO 0.5
39800001187,,ULSMGO 0.1
39800001187,45.0000,LSHFO 0.5
39800001190,,ULSMGO 0.1
39800001190,46.0000,LSHFO 0.5
39800001192,,ULSMGO 0.1
39800001192,46.0000,LSHFO 0.5
39800001194,,ULSMGO 0.1
39800001194,46.0000,LSHFO 0.5
39800001197,,ULSMGO 0.1
39800001197,47.0000,LSHFO 0.5
39800001199,,ULSMGO 0.1
39800001199,45.0000,LSHFO 0.5
39800001210,,ULSMGO 0.1
39800001210,15.0000,LSHFO 0.5
39800001213,,ULSMGO 0.1
39800001213,,LSHFO 0.5
39800001218,,ULSMGO 0.1
39800001218,1.0000,LSHFO 0.5
39800001229,,ULSMGO 0.1
39800001229,6.0000,LSHFO 0.5
39800001237,,ULSMGO 0.1
39800001237,,LSHFO 0.5
39800001248,,ULSMGO 0.1
39800001248,6.0000,LSHFO 0.5
39800001252,,ULSMGO 0.1
39800001252,1.0000,LSHFO 0.5
39800001256,,ULSMGO 0.1
39800001256,,LSHFO 0.5
39800001259,,ULSMGO 0.1
39800001259,,LSHFO 0.5
39800001261,,ULSMGO 0.1
39800001261,,LSHFO 0.5
39800001263,,ULSMGO 0.1
39800001263,,LSHFO 0.5
39800001265,,ULSMGO 0.1
39800001265,,LSHFO 0.5
39800001267,,ULSMGO 0.1
39800001267,,LSHFO 0.5
39800001271,,ULSMGO 0.1
39800001271,2.0000,LSHFO 0.5
39800001275,0.0000,ULSMGO 0.1
39800001275,0.0000,LSHFO 0.5
39800001285,,ULSMGO 0.1
39800001285,2.0000,LSHFO 0.5
39800001292,0.0000,ULSMGO 0.1
39800001292,15.0000,LSHFO 0.5
39800001316,,ULSMGO 0.1
39800001316,33.0000,LSHFO 0.5
39800001318,,ULSMGO 0.1
39800001318,33.0000,LSHFO 0.5
39800001320,,ULSMGO 0.1
39800001320,32.0000,LSHFO 0.5
39800001322,,ULSMGO 0.1
39800001322,36.0000,LSHFO 0.5
39800001324,,ULSMGO 0.1
39800001324,36.0000,LSHFO 0.5
39800001326,,ULSMGO 0.1
39800001326,36.0000,LSHFO 0.5
39800001329,,ULSMGO 0.1
39800001329,36.0000,LSHFO 0.5
39800001331,,ULSMGO 0.1
39800001331,36.0000,LSHFO 0.5
39800001334,,ULSMGO 0.1
39800001334,36.0000,LSHFO 0.5
39800001336,,ULSMGO 0.1
39800001336,36.0000,LSHFO 0.5
39800001338,,ULSMGO 0.1
39800001338,36.0000,LSHFO 0.5
39800001340,,ULSMGO 0.1
39800001340,36.0000,LSHFO 0.5
39800001342,,ULSMGO 0.1
39800001342,36.0000,LSHFO 0.5
39800001344,,ULSMGO 0.1
39800001344,36.0000,LSHFO 0.5
39800001346,,ULSMGO 0.1
39800001346,36.0000,LSHFO 0.5
39800001348,,ULSMGO 0.1
39800001348,36.0000,LSHFO 0.5
39800001350,,ULSMGO 0.1
39800001350,36.0000,LSHFO 0.5
39800001352,,ULSMGO 0.1
39800001352,36.0000,LSHFO 0.5
39800001354,,ULSMGO 0.1
39800001354,36.0000,LSHFO 0.5
39800001356,,ULSMGO 0.1
39800001356,36.0000,LSHFO 0.5
39800001358,,ULSMGO 0.1
39800001358,36.0000,LSHFO 0.5
39800001360,,ULSMGO 0.1
39800001360,36.0000,LSHFO 0.5
39800001362,,ULSMGO 0.1
39800001362,36.0000,LSHFO 0.5
39800001364,,ULSMGO 0.1
39800001364,36.0000,LSHFO 0.5
39800001366,,ULSMGO 0.1
39800001366,36.0000,LSHFO 0.5
39800001368,,ULSMGO 0.1
39800001368,36.0000,LSHFO 0.5
39800001370,,ULSMGO 0.1
39800001370,36.0000,LSHFO 0.5
39800001372,,ULSMGO 0.1
39800001372,36.0000,LSHFO 0.5
39800001424,,ULSMGO 0.1
39800001424,,LSHFO 0.5
39800001426,,ULSMGO 0.1
39800001426,,LSHFO 0.5
39800001429,,ULSMGO 0.1
39800001429,,LSHFO 0.5
39800001431,,ULSMGO 0.1
39800001431,,LSHFO 0.5
39800001433,,ULSMGO 0.1
39800001433,,LSHFO 0.5
39800001438,,ULSMGO 0.1
39800001438,,LSHFO 0.5
39800001444,,ULSMGO 0.1
39800001444,6.0000,LSHFO 0.5
39800001468,0.0000,ULSMGO 0.1
39800001468,1.0000,LSHFO 0.5
39800001476,,ULSMGO 0.1
39800001476,1.0000,LSHFO 0.5
39800001479,0.0000,ULSMGO 0.1
39800001479,0.0000,LSHFO 0.5
39800001487,,ULSMGO 0.1
39800001487,1.0000,LSHFO 0.5
39800001496,,ULSMGO 0.1
39800001496,21.0000,LSHFO 0.5
39800001499,,ULSMGO 0.1
39800001499,40.0000,LSHFO 0.5
39800001501,,ULSMGO 0.1
39800001501,40.0000,LSHFO 0.5
39800001516,,ULSMGO 0.1
39800001516,19.0000,LSHFO 0.5
39800001520,0.0000,ULSMGO 0.1
39800001520,0.0000,LSHFO 0.5
39800001528,,ULSMGO 0.1
39800001528,15.0000,LSHFO 0.5
39800001530,0.0000,ULSMGO 0.1
39800001530,34.0000,LSHFO 0.5
39800001533,,ULSMGO 0.1
39800001533,34.0000,LSHFO 0.5
39800001540,,ULSMGO 0.1
39800001540,,LSHFO 0.5
39800001542,,ULSMGO 0.1
39800001542,,LSHFO 0.5
39800001546,,ULSMGO 0.1
39800001546,,LSHFO 0.5
39800001548,,ULSMGO 0.1
39800001548,,LSHFO 0.5
39800001551,,ULSMGO 0.1
39800001551,,LSHFO 0.5
39800001558,,ULSMGO 0.1
39800001558,,LSHFO 0.5
39800001562,0.0000,ULSMGO 0.1
39800001562,2.0000,LSHFO 0.5
39800001564,0.0000,ULSMGO 0.1
39800001564,0.0000,LSHFO 0.5
39800001566,0.0000,ULSMGO 0.1
39800001566,0.0000,LSHFO 0.5
39800001568,,ULSMGO 0.1
39800001568,,LSHFO 0.5
39800001583,,ULSMGO 0.1
39800001583,40.0000,LSHFO 0.5
39800001585,,ULSMGO 0.1
39800001585,40.0000,LSHFO 0.5
39800001587,,ULSMGO 0.1
39800001587,40.0000,LSHFO 0.5
39800001589,,ULSMGO 0.1
39800001589,40.0000,LSHFO 0.5
39800001591,,ULSMGO 0.1
39800001591,40.0000,LSHFO 0.5
39800001593,,ULSMGO 0.1
39800001593,40.0000,LSHFO 0.5
39800001595,,ULSMGO 0.1
39800001595,40.0000,LSHFO 0.5
39800001597,,ULSMGO 0.1
39800001597,40.0000,LSHFO 0.5
39800001599,,ULSMGO 0.1
39800001599,40.0000,LSHFO 0.5
39800001603,,ULSMGO 0.1
39800001603,40.0000,LSHFO 0.5
39800001609,,ULSMGO 0.1
39800001609,40.0000,LSHFO 0.5
39800001642,0.0000,ULSMGO 0.1
39800001642,11.0000,LSHFO 0.5
39800001651,0.0000,ULSMGO 0.1
39800001651,14.0000,LSHFO 0.5
39800001653,,ULSMGO 0.1
39800001653,40.0000,LSHFO 0.5
39800001655,,ULSMGO 0.1
39800001655,40.0000,LSHFO 0.5
39800001657,,ULSMGO 0.1
39800001657,40.0000,LSHFO 0.5
39800001659,,ULSMGO 0.1
39800001659,40.0000,LSHFO 0.5
39800001661,,ULSMGO 0.1
39800001661,40.0000,LSHFO 0.5
39800001663,12.0000,ULSMGO 0.1
39800001663,25.0000,LSHFO 0.5
39800001665,20.0000,ULSMGO 0.1
39800001665,,LSHFO 0.5
39800001671,5.0000,ULSMGO 0.1
39800001671,,LSHFO 0.5
39800001673,,ULSMGO 0.1
39800001673,,LSHFO 0.5
39800001679,10.0000,ULSMGO 0.1
39800001679,,LSHFO 0.5
39800001688,14.0000,ULSMGO 0.1
39800001688,,LSHFO 0.5
39800001705,15.0000,ULSMGO 0.1
39800001705,,LSHFO 0.5
39800001709,,ULSMGO 0.1
39800001709,,LSHFO 0.5
39800001711,,ULSMGO 0.1
39800001711,,LSHFO 0.5
39800001718,,ULSMGO 0.1
39800001718,,LSHFO 0.5
39800001722,,ULSMGO 0.1
39800001722,,LSHFO 0.5
39800001739,3.0000,ULSMGO 0.1
39800001739,,LSHFO 0.5
39800001752,,ULSMGO 0.1
39800001752,,LSHFO 0.5
39800001754,,ULSMGO 0.1
39800001754,,LSHFO 0.5
39800001756,,ULSMGO 0.1
39800001756,,LSHFO 0.5
39800001761,5.0000,ULSMGO 0.1
39800001761,,LSHFO 0.5
39800001765,,ULSMGO 0.1
39800001765,,LSHFO 0.5
39800001781,5.0000,ULSMGO 0.1
39800001781,,LSHFO 0.5
39800001784,10.0000,ULSMGO 0.1
39800001784,0.0000,LSHFO 0.5
39800001786,,ULSMGO 0.1
39800001786,38.0000,LSHFO 0.5
39800001788,,ULSMGO 0.1
39800001788,36.0000,LSHFO 0.5
39800001790,,ULSMGO 0.1
39800001790,36.0000,LSHFO 0.5
39800001792,,ULSMGO 0.1
39800001792,24.0000,LSHFO 0.5
39800001794,,ULSMGO 0.1
39800001794,36.0000,LSHFO 0.5
39800001796,,ULSMGO 0.1
39800001796,34.0000,LSHFO 0.5
39800001798,,ULSMGO 0.1
39800001798,36.0000,LSHFO 0.5
39800001800,,ULSMGO 0.1
39800001800,36.0000,LSHFO 0.5
39800001804,,ULSMGO 0.1
39800001804,36.0000,LSHFO 0.5
39800001806,,ULSMGO 0.1
39800001806,36.0000,LSHFO 0.5
39800001808,0.0000,ULSMGO 0.1
39800001808,36.0000,LSHFO 0.5
39800001810,,ULSMGO 0.1
39800001810,36.0000,LSHFO 0.5
